idweb,objet,descripteur_libelle,cpv_clean,cpv_div2,category_id_rule,category_label_rule,category_id_final,notes
17-31074,"Maintenance corrective, adaptative, reglementaire et évolutive du progiciel Qbloc",Informatique (prestations de services),72267000.0,72.0,CAT02,IT Services & Consulting,,
16-128870,Prestations d'assistance technique et conduite de projets techniques pour la mise en oeuvre du schéma directeur du système d'information,Abris|Assistance technique,72611000.0,72.0,CAT10,IT Maintenance & Support,,
16-158802,A completer,Abris,72320000.0,72.0,CAT09,GIS & Mapping,,
24-107602,"Acquisition de logiciels d'infrastructures techniques ou bureautiques et services associés, pour le Département de Loire-Atlantique, les structures associées et les collèges du Département de Loire-At",Logiciel,48422000.0,48.0,CAT01,Software & Applications,,
24-111199,Intégration d'une solution globale d'alertes PPMS,Alarme,35121000.0,35.0,CAT03,Cybersecurity,,
21-16061,Assistance à l'adaptation du logiciel de gestion des ressources humaines HR ACCESS,Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
16-167133,"Equipement en matériels informatique, technique et logiciels pour la Setram",Informatique (matériel)|Outillage,30200000.0,30.0,CAT06,IT Hardware & Equipment,,
17-23389,travaux d'aménagement de la zac du verger à carquefou (44),Assainissement|Espaces verts|Réseaux divers|Signalétique|Terrassement|Travaux de viabilité|Voirie,45113000.0,45.0,CAT_UNKNOWN,Unknown,,
16-139514,"maintenance, exploitation et extension du réseau de téléphonie",Informatique (matériel)|Logiciel|Maintenance|Matériel de téléphonie,50324100.0,50.0,CAT04,Telecom & Networks,,
18-28160,marché de mandat pour le renouvellement du système d'aide à l'exploitation du tramway,Etude|Transport,71311200.0,71.0,CAT_UNKNOWN,Unknown,,
24-103343,Accord cadre relatif à la logistique dans le cadre des manifestations évènementielles,Prestations de services,75310000.0,75.0,CAT09,GIS & Mapping,,
18-125716,Externalisation et infogérance du SI,Informatique (prestations de services),72000000.0,72.0,CAT02,IT Services & Consulting,,
19-146214,Prestations d'intégration de déploiement et de maintenance du numérique dans les collèges du département de la Sarthe et sites associés,Informatique (prestations de services)|Informatique (assistance)|Informatique (maintenance serveurs et réseaux),72500000.0,72.0,CAT02,IT Services & Consulting,,
16-85545,"Acquisition, installation, formation, et maintenance d'équipements de réseaux LAN / WIFI et de sécurité pour le CROUS de Nantes Pays de la Loire",Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),32420000.0,32.0,CAT06,IT Hardware & Equipment,,
21-126092,Mise en place d'une place de marché territoriale,Logiciel,72212480.0,72.0,CAT07,Digital Workplace & Collaboration,,
16-70640,travaux d'aménagement de la zac de la jaguere (44)-phase 2,Assainissement|Réseaux divers|Terrassement|Travaux de viabilité|Végétaux|Voirie,45111291.0,45.0,CAT_UNKNOWN,Unknown,,
23-85576,"Création du nouveau site internet du Centre Hospitalier de Laval ainsi que son hébergement, sa maintenance et la formation des professionnels référents",Site internet,72212220.0,72.0,CAT07,Digital Workplace & Collaboration,,
23-53540,fourniture de matériels informatiques,Informatique (matériel),30230000.0,30.0,CAT06,IT Hardware & Equipment,,
16-73215,Assistance à maîtrise d'ouvrage pour la refonte du site internet nantesmetropole.fr,Assistance à maîtrise d'ouvrage,72130000.0,72.0,CAT02,IT Services & Consulting,,
21-122869,"Prestations de maîtrise d'oeuvre, de conseil et d'étude en informatique",Informatique (prestations de services),72224000.0,72.0,CAT02,IT Services & Consulting,,
22-54094,enrichissement de la base de données livrjeun,Livres,72320000.0,72.0,CAT09,GIS & Mapping,,
17-68883,infogérance du système d'information de l'arafer,Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),72611000.0,72.0,CAT10,IT Maintenance & Support,,
24-104541,"Acquisition de logiciels d'infrastructures techniques ou bureautiques et services associés, pour le Département de Loire-Atlantique, les structures associées et les collèges du Département de Loire-At",Logiciel,48422000.0,48.0,CAT01,Software & Applications,,
16-79523,acquisition de materiels informatiques et logiciels,Informatique (matériel)|Logiciel,30230000.0,30.0,CAT06,IT Hardware & Equipment,,
17-58113,infogérance du système d'information de l'arafer,Informatique (assistance)|Informatique (maintenance serveurs et réseaux),72611000.0,72.0,CAT10,IT Maintenance & Support,,
22-8616,RENOUVELLEMENT DES INFRASTRUCTURES DE SECURITE INFORMATIQUE Renouvellement de l'infrastructure de sécurité informatique et des solutions de détection des menaces,Informatique (prestations de services),72212730.0,72.0,CAT07,Digital Workplace & Collaboration,,
23-105160,Acquisition des vêtements et équipements de travail,Equipements spécialisés,18100000.0,18.0,CAT_UNKNOWN,Unknown,,
16-118469,prestations d'assistance technique et support informatique pour les collèges de loire-atlantique,Assistance technique|Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
23-176087,Réalisation d'un parking public d'usage partagé en superstructure aux abords du centre hospitalier du Mans et du Centre de Cancérologie de la Sarthe - Lots 12 et 13,Matériel électrique,45223300.0,45.0,CAT_UNKNOWN,Unknown,,
19-21370,Procédure Adaptée relative à la CONVERGENCE DES SYSTEMES D'INFORMATION DE 3 ETABLISSEMENTS MEDICO-SOCIAUX PLACES SOUS DIRECTION COMMUNE et réunis en GROUPEMENT DE COMMANDE,Informatique (matériel)|Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
24-18614,Acquisition de documents sonores et audiovisuels - supports préenregistrés son et images destinés à tous publics du réseau des médiathèques de la ville du Mans - Années 2024 à 2027,"Cd, DVD",32353000.0,32.0,CAT04,Telecom & Networks,,
19-52455,DATA-DSI-2019-01,Progiciel,48800000.0,48.0,CAT05,Cloud & Infrastructure,,
17-171316,Hébergement et infogérance de la solution de gestion de dossiers électronique de l'inventaire,Informatique (maintenance serveurs et réseaux),72250000.0,72.0,CAT03,Cybersecurity,,
19-158227,"Fourniture, pose et maintenance des équipements de sûreté des bâtiments du Département de Loire-Atlantique",Contrôle d'accès|Surveillance|Télésurveillance,35120000.0,35.0,CAT03,Cybersecurity,,
20-108291,Travaux d'aménagement de la phase 1 de la Zac de La Corbinière à Pornic (44),Espaces verts|Génie civil|Réseaux divers|Terrassement,45111291.0,45.0,CAT08,Data & AI,,
17-183325,Refonte des réseaux LAN et WIFI et prestations de câblages associées,Réseaux divers,32412000.0,32.0,CAT04,Telecom & Networks,,
16-45436,reconstruction du site hospitalier du loroux-bottereau et la restructuration partielle du site de Vertou à Le Loroux Bottereau,"Appareil élévateur|Charpente|Chauffage (travaux)|Cloison, faux plafond|Electricité|Espaces verts|Etanchéité|Fluides médicaux|Gros oeuvre|Isolation|Matériel de secours et d'incendie|Menuiserie|Métallerie|Peinture (travaux)|Plomberie|Revêtements de sols|Sanitaire|Téléphone|Terrassement|Ventilation|Vitrerie|Voirie et réseaux divers",45000000.0,45.0,CAT_UNKNOWN,Unknown,,
15-32296,fourniture de logiciels ibm-lotus et de prestations d'assistance technique associées pour le CHU de Nantes,Logiciel,48517000.0,48.0,CAT01,Software & Applications,,
24-117381,Informatisation des billetteries et boutiques des sites culturels et naturels,Logiciel,72212481.0,72.0,CAT07,Digital Workplace & Collaboration,,
16-172778,acquisition de volants dynamométriques et fournitures associées.,Matériel électronique,35125100.0,35.0,CAT03,Cybersecurity,,
23-165475,Marché public pour la fourniture et l'installation d'un système de vidéosurveillance des parcs de stationnement à Laval,"Publicité, Communication|Signalétique",32570000.0,32.0,CAT04,Telecom & Networks,,
17-161917,Assistance pour le développement spécifique applicatif,Informatique (prestations de services)|Informatique (assistance),72611000.0,72.0,CAT10,IT Maintenance & Support,,
17-146216,"marché de services - infogérance, exploitation, hébergement d'une solution de communications unifiées avec centre de contact, et évolution de l'infrastructure de réseau de maine-et-loire habitat",Matériel de téléphonie,32544000.0,32.0,CAT04,Telecom & Networks,,
